id;name;value;price;category;description
1;Dollar Portugalia Innovative;55250;43811;holistic Intelligent embrace;Ergonomic Sausages niches
2;navigate array Tasty;58659;68770;Awesome deposit;enable
3;JBOD;19745;42611;Group encoding Lubuskie;Bedfordshire override EXE
4;Steel Concrete Table;5375;26948;Configurable Gorgeous;Sleek Dinar Games
5;Account;9089;269;Stravenue invoice;convergence Bhutan
6;Uganda;69643;91514;FTP;Avon Car
7;withdrawal;86261;64300;compressing;Customer primary Rubber
8;Strategist Danish;7176;67685;cross-platform;copy programming leading-edge
9;Fantastic pink Soft;74652;55571;wireless Associate payment;Plastic Cliff
10;functionalities withdrawal;3462;58685;Account generating emulation;grey Pre-emptive capacitor
