id;status;date_start;date_end;classroom_or_addres
1;Director benchmark standardization;2021-11-29;2021-11-29;invoice
2;Naira Fish;2021-11-29;2021-11-29;Administrator red
3;Up-sized Facilitator;2021-11-29;2021-11-28;Jewelery
4;24/365 Soft;2021-11-28;2021-11-28;deposit
5;reintermediate quantifying;2021-11-29;2021-11-29;Granite AGP
6;Mountains Handmade systemic;2021-11-29;2021-11-28;575 synthesizing Dolnośląskie
7;Producer;2021-11-28;2021-11-29;solution quantify
8;auxiliary Reverse-engineered;2021-11-29;2021-11-29;payment Health transparent
9;salmon Salad;2021-11-28;2021-11-28;Avon
10;Optimization Marshalla;2021-11-28;2021-11-29;radical
