id;point_grade;content;deadline;send_day;answer;attachment;attachment_content_type
1;2559;bypass;2021-11-29;2021-11-29;uniform Supervisor Road;../fake-data/blob/hipster.png;image/png
2;79787;Total panel;2021-11-29;2021-11-28;Sleek;../fake-data/blob/hipster.png;image/png
3;21699;Rustic;2021-11-29;2021-11-29;Course deposit program;../fake-data/blob/hipster.png;image/png
4;68418;Solomon interactive Zjednoczone;2021-11-28;2021-11-29;Ball RAM Dollar;../fake-data/blob/hipster.png;image/png
5;53833;yellow;2021-11-29;2021-11-29;Orchestrator;../fake-data/blob/hipster.png;image/png
6;88241;Industrial;2021-11-28;2021-11-29;back-end;../fake-data/blob/hipster.png;image/png
7;74865;EXE Oro Rial;2021-11-29;2021-11-28;Borders;../fake-data/blob/hipster.png;image/png
8;43142;Industrial hacking Administrator;2021-11-29;2021-11-29;Operations Branding Handmade;../fake-data/blob/hipster.png;image/png
9;17138;Borders hacking;2021-11-28;2021-11-28;Borders User-friendly sky;../fake-data/blob/hipster.png;image/png
10;18184;capability Paragwaj;2021-11-29;2021-11-28;Dinar Hat;../fake-data/blob/hipster.png;image/png
